VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,QuantityBin,VolumeCat,PurchaseVolumeCategory
2000,SOUTHERN WINE & SPIRITS NE ,19684,Ch Magdelaine 10 St Emilion,75.86,750.0,109.99,6,455.16,769.9300000000001,219.98,7.0,0.79,19016.59,314.77000000000004,40.88293740989441,1.1666666666666667,1.6915590122154847,75.86,"(0.999, 8.0]",Small,Small
7749,R.P.IMPORTS INC            ,19594,Ch Doisy Daene Gr Vin Sec 10,18.95,750.0,28.99,24,454.8,115.96,57.98,4.0,0.44,91.5,-338.84000000000003,-292.2042083477061,0.16666666666666666,0.2549692172383465,18.95,"(16.0, 31.0]",Small,Small
9819,TREASURY WINE ESTATES      ,24336,Meridian Cab Svgn Cal,7.58,750.0,10.99,60,454.79999999999995,21.98,10.99,2.0,0.22,14836.570000000005,-432.81999999999994,-1969.1537761601453,0.03333333333333333,0.04832893579595427,7.579999999999999,"(54.0, 85.0]",Small,Small
8004,SAZERAC CO INC             ,437,Rock Hills Farm Bourbon,37.87,750.0,49.99,12,454.44,399.92,299.94,8.0,6.31,50293.62000000002,-54.51999999999998,-13.632726545309056,0.6666666666666666,0.8800281665346361,37.87,"(8.0, 16.0]",Small,Small
9552,M S WALKER INC             ,22799,Farmers of Wine Italian Red,9.65,750.0,15.99,47,453.55,63.96,47.97,4.0,0.44,55551.819999999985,-389.59000000000003,-609.11507191995,0.0851063829787234,0.14102083563002976,9.65,"(31.0, 54.0]",Small,Small
4692,KOBRAND CORPORATION        ,24727,Nardi Brunllo d Montlcino 10,34.86,750.0,52.99,13,453.17999999999995,1801.66,582.89,34.0,3.8200000000000003,9139.38,1348.48,74.84653042194421,2.6153846153846154,3.9755946864380607,34.86,"(8.0, 16.0]",Small,Small
653,STATE WINE & SPIRITS   ,14013,Joseph Mellot Sancerre White,16.77,750.0,24.99,27,452.78999999999996,99.96,99.96,4.0,0.44,8014.98,-352.83,-352.97118847539014,0.14814814814814814,0.22076459285761613,16.77,"(16.0, 31.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,8767,Metcalfe's Raspberry Liqueur,19.68,750.0,29.99,23,452.64,179.94,179.94,6.0,4.74,68054.70000000003,-272.7,-151.55051683894632,0.2608695652173913,0.39753446447507956,19.68,"(16.0, 31.0]",Small,Small
9552,M S WALKER INC             ,25181,Grahams 2000 Vintage Port,64.42,750.0,95.99,7,450.94,1535.84,1247.87,16.0,1.7600000000000002,55551.819999999985,1084.8999999999999,70.63886863214918,2.2857142857142856,3.405863307757129,64.42,"(0.999, 8.0]",Small,Small
90047,CRUSH WINES                ,18338,Mile Marker Pnt Gris,9.39,750.0,13.99,48,450.72,167.88,13.99,12.0,1.35,1457.7299999999998,-282.84000000000003,-168.47748391708365,0.25,0.3724707135250266,9.39,"(31.0, 54.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,2242,Cles des Ducs Armagnac VSOP,16.05,750.0,30.99,28,449.40000000000003,1517.3100000000004,1187.4600000000003,69.0,54.369999999999976,68054.70000000003,1067.9100000000003,70.38179409613066,2.4642857142857144,3.3763017356475307,16.05,"(16.0, 31.0]",Small,Small
7153,PINE STATE TRADING CO      ,23946,Ch La Cardone Medoc 09,13.6,750.0,19.99,33,448.8,679.6600000000002,359.82000000000005,34.0,3.79,15884.819999999998,230.86000000000018,33.966983491745886,1.0303030303030303,1.5143939393939398,13.6,"(31.0, 54.0]",Small,Small
90047,CRUSH WINES                ,17194,Uvaggio Primitivo Lodi,8.27,750.0,11.99,54,446.58000000000004,1714.5700000000006,587.5100000000003,143.0,15.969999999999999,1457.7299999999998,1267.9900000000007,73.95381932496196,2.6481481481481484,3.8393344977383683,8.270000000000001,"(31.0, 54.0]",Small,Small
1392,CONSTELLATION BRANDS INC   ,24587,Woodbridge Harvest Spice Red,4.51,750.0,6.99,99,446.49,1165.4900000000007,592.2400000000005,151.0,16.829999999999995,79528.99,719.0000000000007,61.690790997777775,1.5252525252525253,2.6103384174337627,4.51,"(85.0, 144.0]",Small,Small
3252,E & J GALLO WINERY         ,46074,Turning Leaf Pnt Nr RSV VDP,7.43,1500.0,10.99,60,445.79999999999995,197.82,32.97,18.0,4.050000000000001,61966.909999999996,-247.97999999999996,-125.35638459205336,0.3,0.44374158815612386,7.429999999999999,"(54.0, 85.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,6365,Fetzer Svgn Bl Cal,7.43,750.0,10.99,60,445.79999999999995,131.88,10.99,12.0,1.35,68054.70000000003,-313.91999999999996,-238.03457688808004,0.2,0.2958277254374159,7.429999999999999,"(54.0, 85.0]",Small,Small
4425,MARTIGNETTI COMPANIES,32543,Villa Cornaro Pinot Grigio,5.29,750.0,7.99,84,444.36,95.88,7.99,12.0,1.35,144929.24,-348.48,-363.45431789737177,0.14285714285714285,0.21577099648933296,5.29,"(54.0, 85.0]",Small,Small
90047,CRUSH WINES                ,20739,Paydirt Red Paso Robles,12.33,750.0,23.99,36,443.88,18.99,18.99,1.0,0.11,1457.7299999999998,-424.89,-2237.440758293839,0.027777777777777776,0.04278183292781833,12.33,"(31.0, 54.0]",Small,Small
4425,MARTIGNETTI COMPANIES,23193,Martinelli Vellu Ranch Znfdl,36.98,750.0,53.99,12,443.76,215.96,161.97,4.0,0.44,144929.24,-227.79999999999998,-105.482496758659,0.3333333333333333,0.4866594555615648,36.98,"(8.0, 16.0]",Small,Small
3252,E & J GALLO WINERY         ,24997,W Hill Merlot Napa,16.43,750.0,23.99,27,443.61,463.84000000000003,144.95,16.0,1.79,61966.909999999996,20.230000000000018,4.361417730251815,0.5925925925925926,1.0456031198575326,16.43,"(16.0, 31.0]",Small,Small
1590,DIAGEO CHATEAU ESTATE WINES,15747,BV Coastal Estate Red,6.16,750.0,10.99,72,443.52,21.98,10.99,2.0,0.22,7259.75,-421.53999999999996,-1917.8343949044586,0.027777777777777776,0.04955808080808081,6.16,"(54.0, 85.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,21179,Amapola Creek 09 Cab Svgn,40.26,750.0,59.99,11,442.86,179.97,179.97,3.0,0.33,68054.70000000003,-262.89,-146.07434572428735,0.2727272727272727,0.40638124915323126,40.26,"(8.0, 16.0]",Small,Small
90024,VINILANDIA USA             ,44907,Guntrum Dry Trocken Rheinhsn,9.2,750.0,13.99,48,441.6,27.98,27.98,2.0,0.22,2802.6400000000003,-413.62,-1478.2701929949963,0.041666666666666664,0.0633605072463768,9.200000000000001,"(31.0, 54.0]",Small,Small
6785,PALM BAY INTERNATIONAL INC ,18433,Bertani Amarone 04,62.91,750.0,94.99,7,440.37,1519.84,1139.8799999999999,16.0,1.7600000000000002,13605.409999999998,1079.4699999999998,71.0252394988946,2.2857142857142856,3.4512796057860435,62.910000000000004,"(0.999, 8.0]",Small,Small
8673,STE MICHELLE WINE ESTATES  ,10124,Tormaresca Neprica Puglia,7.33,750.0,10.99,60,439.79999999999995,164.85,43.96,15.0,1.6800000000000002,15919.700000000003,-274.94999999999993,-166.78798908098267,0.25,0.37482946793997274,7.329999999999999,"(54.0, 85.0]",Small,Small
3252,E & J GALLO WINERY         ,35663,Redwood Creek Cab Svgn Cal,4.31,750.0,6.29,102,439.62,12.58,12.58,2.0,0.22,61966.909999999996,-427.04,-3394.5945945945946,0.0196078431372549,0.028615622583139984,4.31,"(85.0, 144.0]",Small,Small
4425,MARTIGNETTI COMPANIES,12595,Yellow Tail Svgn Bl,5.36,750.0,7.99,82,439.52,55.93,23.97,7.0,0.78,144929.24,-383.59,-685.8394421598426,0.08536585365853659,0.1272524572260648,5.359999999999999,"(54.0, 85.0]",Small,Small
9552,M S WALKER INC             ,24040,Merieau 12 Les Hex PN VdP,8.78,750.0,12.99,50,439.0,155.88,51.96,12.0,1.35,55551.819999999985,-283.12,-181.62689248139597,0.24,0.35507972665148063,8.78,"(31.0, 54.0]",Small,Small
